date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:23	3649/3649	---M-Z	200	added ('OK')	application/javascript	etag:%22835509efe3cb19ab32a5e243fa522d6f-ssl%22	https://dashboard.babymatic.io/theme-assets/js/theme.min.js	C:/My%20Web%20Sites/dashboard/dashboard.babymatic.io/theme-assets/js/theme.min.js	(from https://dashboard.babymatic.io/)
22:20:24	4062/4062	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2012%20Aug%202021%2014:19:20%20GMT	https://code.highcharts.com/highcharts.js	C:/My%20Web%20Sites/dashboard/code.highcharts.com/highcharts.f.delayed	(from https://dashboard.babymatic.io/)
22:20:26	1163746/1163746	---MCZ	200	added ('OK')	application/javascript	etag:%2211c1e2-CBKBj3aedzOyuXE1C535ub1XCzM%22	https://unpkg.com/web3@1.2.11/dist/web3.min.js	C:/My%20Web%20Sites/dashboard/unpkg.com/web3@1.2.11/dist/web3.min.js	(from https://dashboard.babymatic.io/)
22:20:27	428153/428153	---MCZ	200	added ('OK')	application/javascript	etag:%2268879-tm7vwPb2IqrA2oEDTYylltO0M54%22	https://unpkg.com/web3modal@1.9.0/dist/index.js	C:/My%20Web%20Sites/dashboard/unpkg.com/web3modal@1.9.0/dist/index.js	(from https://dashboard.babymatic.io/)
22:20:27	22657/22657	---MCZ	200	added ('OK')	application/javascript	etag:%225881-yk4n8EqlvpHDLglCWD85vKUneh8%22	https://unpkg.com/evm-chains@0.2.0/dist/umd/index.min.js	C:/My%20Web%20Sites/dashboard/unpkg.com/evm-chains@0.2.0/dist/umd/index.min.js	(from https://dashboard.babymatic.io/)
22:20:27	35960/35960	---MCZ	200	added ('OK')	application/javascript	etag:%228c78-8aiIHAt6DTXiyYHBtC37524NjvI%22	https://unpkg.com/fortmatic@2.0.6/dist/fortmatic.js	C:/My%20Web%20Sites/dashboard/unpkg.com/fortmatic@2.0.6/dist/fortmatic.js	(from https://dashboard.babymatic.io/)
22:20:27	1062220/1062220	---MCZ	200	added ('OK')	application/javascript	etag:%2210354c-SQkpH4nf0Fs213c6eRJ65TZA0Lo%22	https://unpkg.com/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	C:/My%20Web%20Sites/dashboard/unpkg.com/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	(from https://dashboard.babymatic.io/)
22:20:28	19919/19919	---MCZ	200	added ('OK')	application/javascript	etag:1d7e004d22c344c79c0060ce8cc843410ea2d321-df	https://d33wubrfki0l68.cloudfront.net/js/71b6e484a2124b7edfd33999cc70fbbbf0285d8b/logic.min.js	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/js/71b6e484a2124b7edfd33999cc70fbbbf0285d8b/logic.min.js	(from https://dashboard.babymatic.io/)
22:20:28	17499/17499	---M--	200	added ('OK')	image/png	etag:71742603ff8445bf8c4ca9a4000b35009900943d	https://d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/519fc2da6a9c95d0a90923efa572c2a7a22d2c8d/footer-image.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/519fc2da6a9c95d0a90923efa572c2a7a22d2c8d/footer-image.png	(from https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css)
22:20:29	1942/1942	---M--	200	added ('OK')	image/png	etag:e8433595c08600858f1b36aa9665f4f441153cc6	https://d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/0f253a3af36c1459fd4372741dc923f7935d3097/what-is-crypto-shape.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/0f253a3af36c1459fd4372741dc923f7935d3097/what-is-crypto-shape.png	(from https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css)
22:20:29	3276729/3276729	---M--	200	added ('OK')	image/png	etag:36473208be3f2b273339881f12afe3a133e68a0a	https://d33wubrfki0l68.cloudfront.net/e1d60c90a1dbfbc33ba62591c8394649f2154f9b/fa14b/theme-assets/images/blockchain.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/e1d60c90a1dbfbc33ba62591c8394649f2154f9b/fa14b/theme-assets/images/blockchain.png	(from https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css)
22:20:29	3119/3119	---M--	200	added ('OK')	image/png	etag:0bef1ee18184eeb4b1e454a5339c61d4226b4719	https://d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/67ce79e2ac60fb48fe6215a46e07227f8c71ac80/solutions-shape.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/67ce79e2ac60fb48fe6215a46e07227f8c71ac80/solutions-shape.png	(from https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css)
22:20:29	13031/13031	---M--	200	added ('OK')	image/png	etag:7d0a895ead2965a5389ecc44c2d452a2fa15db95	https://d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/e6be51760c6ee90261d8ab326d89571cfbe462cb/token-sale-shape.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/e6be51760c6ee90261d8ab326d89571cfbe462cb/token-sale-shape.png	(from https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css)
22:20:29	1997/1997	---M--	200	added ('OK')	image/png	etag:076b5b4b53c078af73c67314a817078fcd4f5d3a	https://d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/4ac4a96862857d4e1d84d43bf27e0cee7561d353/our-coin-shape.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/4ac4a96862857d4e1d84d43bf27e0cee7561d353/our-coin-shape.png	(from https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css)
22:20:30	3303/3303	---M--	200	added ('OK')	image/png	etag:bb7590f39e4a060f44fb52ad9c0d5899149a1238	https://d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/2a8b7b8eea1e0d3494496c6ca15e0810dca5339e/team-shape.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/2a8b7b8eea1e0d3494496c6ca15e0810dca5339e/team-shape.png	(from https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css)
22:20:30	914/914	---M--	200	added ('OK')	image/png	etag:eaa13966a5891cc289f19cdcc09296e57f011322	https://d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/c15b11cbbfb8ef442c6b0ebea69044cca568fdf8/contact-shape.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/theme-assets/images-3d-animation/c15b11cbbfb8ef442c6b0ebea69044cca568fdf8/contact-shape.png	(from https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css)
